-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
D	-	B	-	A	A	B	D	B	A	-	A	A	A	A	D	B	A	D	A	B	B	C	A	B	A	A	A	-	A	-	A	-	D	A	A	-	A	-	A
A	A	A	-	B	-	A	A	A	C	A	A	A	A	A	D	A	-	-	A	-	A	A	-	A	C	B	-	B	A	-	A	A	-	A	A	A	A	A	A
A	A	A	-	B	-	B	C	-	C	A	-	A	A	A	D	A	-	D	A	B	A	A	-	A	C	B	C	B	A	-	A	C	D	D	A	C	A	-	A
D	-	A	D	A	C	A	A	-	-	A	C	A	A	A	D	A	A	-	A	C	C	D	B	B	A	-	C	A	A	C	A	-	D	A	A	A	-	A	D
A	C	A	-	D	-	-	A	B	-	-	-	C	B	A	-	A	A	D	-	C	D	B	D	A	C	C	C	B	A	A	D	C	C	-	A	D	D	A	A
D	-	A	A	C	A	A	A	A	D	A	A	A	A	A	A	A	-	C	A	A	D	C	B	D	A	C	C	A	A	A	A	-	D	C	A	-	B	D	C
D	-	A	A	-	-	B	D	D	D	D	A	A	A	A	A	A	A	A	-	C	A	-	A	D	C	B	B	D	-	-	-	A	A	A	-	-	A	D	A
C	A	A	A	A	-	A	C	D	A	A	A	A	A	A	D	-	A	A	A	A	A	-	A	B	A	B	-	A	A	C	D	-	A	A	A	-	A	A	A
C	D	A	D	A	A	A	A	A	A	D	A	A	A	A	A	A	A	A	A	C	A	D	A	A	D	C	A	A	A	A	A	-	A	A	A	A	-	A	B
D	-	A	-	C	-	B	A	D	-	B	A	A	A	C	D	B	-	A	A	C	-	B	-	B	C	B	D	A	A	-	A	-	D	-	B	B	C	D	A
C	C	A	C	C	C	B	A	C	D	D	C	A	A	C	D	A	A	C	A	D	B	A	C	B	B	C	B	D	C	B	D	D	D	D	B	D	D	B	C
A	B	B	D	A	-	B	A	A	D	C	-	A	A	B	B	D	-	D	-	D	A	C	B	-	A	A	-	A	B	-	A	A	A	A	A	-	-	A	-
-	B	A	-	-	A	A	A	D	-	D	A	A	A	C	-	-	A	-	D	B	D	C	B	D	A	-	C	A	D	D	-	C	D	B	-	-	-	A	C
C	-	B	-	D	-	-	C	D	D	C	A	A	A	A	D	A	A	D	D	C	A	A	B	-	A	-	A	D	C	A	-	-	D	-	B	-	D	-	D
D	A	A	-	B	B	-	-	-	D	C	A	B	A	A	D	D	A	-	B	C	-	A	-	B	D	B	C	D	D	A	B	C	D	D	-	A	A	C	D
-	-	A	A	D	A	A	B	D	-	C	A	C	B	-	B	B	-	-	D	B	-	-	C	C	B	B	C	A	A	A	C	C	C	C	-	C	D	B	B
-	-	A	-	-	-	-	-	A	-	A	B	B	A	B	B	C	A	-	D	A	-	A	D	C	D	B	A	-	B	-	C	C	-	D	A	-	D	-	C
-	-	A	A	A	A	A	A	A	A	A	A	-	A	A	A	A	C	D	A	A	A	A	A	A	A	A	A	D	A	A	A	A	A	A	B	A	A	A	A
-	C	A	A	C	-	A	A	A	D	A	A	A	A	A	B	B	A	A	A	C	A	C	A	B	D	B	A	A	A	D	-	D	D	-	C	C	A	A	A
-	-	A	D	A	-	-	-	D	-	C	A	A	C	A	-	B	-	A	-	C	-	A	D	A	A	B	A	A	B	A	C	-	C	B	C	D	D	C	A
C	-	-	-	D	-	-	C	D	A	-	A	A	A	A	A	A	-	A	A	C	A	-	B	D	C	C	A	A	B	-	-	B	C	-	-	-	D	B	A
-	-	-	-	-	-	-	A	-	-	A	A	A	C	-	-	-	A	-	A	B	-	-	-	-	A	-	-	-	A	-	-	-	-	-	-	-	-	-	A
B	A	A	A	A	-	A	-	-	A	A	A	A	A	-	A	A	A	-	A	A	A	-	-	B	A	C	A	A	A	A	-	A	-	A	-	-	-	B	-
D	B	A	C	D	-	A	A	A	-	A	A	A	A	A	-	A	A	-	A	A	D	A	A	C	B	-	-	-	C	A	B	D	A	A	A	-	A	-	D
D	B	-	C	C	A	B	-	D	-	D	B	C	A	B	D	D	D	D	-	B	C	C	B	C	B	D	A	D	C	-	B	D	D	-	B	-	B	D	C
-	A	A	A	B	-	D	A	D	A	C	A	A	A	A	D	-	-	A	A	C	-	C	A	D	A	B	A	A	A	D	A	A	A	B	A	C	A	C	C
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
